X,Y
0,72.000
1,68.286
2,70.009
3,77.607
4,88.623
5,87.301
6,86.100
7,97.281
8,99.756
9,109.556
10,124.537
11,132.245
12,147.530
13,151.067
14,156.608
15,165.632
16,175.416
17,189.255
18,194.263
19,209.018
20,200.387
21,206.392
22,214.658
23,203.830
24,208.301
25,188.365
26,181.052
27,177.452
28,152.915
29,138.746
30,123.857
31,123.684
32,113.885
33,111.364
34,113.734
35,108.444
36,99.979
37,98.797
38,93.301
39,101.397
40,102.907
41,116.837
42,120.756
43,123.350
44,118.410
45,127.510
46,145.458
47,138.799
48,141.021
49,148.521
50,150.798
51,157.887
52,160.461
53,162.335
54,154.783
55,163.640
56,150.121
57,140.055
58,127.640
59,118.328
60,108.857
61,98.555
62,91.417
63,89.819
64,78.544
65,72.880
66,71.468
67,67.975
68,61.722
69,64.367
70,65.658
71,61.986
72,61.506
73,68.059
74,54.921
75,53.968
76,58.814
77,60.025
78,63.360
79,59.288
80,59.530
81,58.626
82,62.665
83,61.457
84,61.165
85,66.129
86,68.346
87,72.539
88,71.269
89,68.382
90,71.151
91,74.619
92,79.120
93,78.037
94,79.874
95,83.660
96,83.352
97,86.767
98,90.910
99,91.768
100,92.653
101,100.859
102,101.954
103,101.947
104,106.921
105,102.666
106,103.127
107,114.506
108,115.606
109,110.702
110,109.604
111,112.023
112,110.976
113,111.816
114,110.646
115,110.581
116,108.818
117,110.558
118,110.114
119,115.310
120,113.569
121,119.526
122,128.187
123,125.669
124,129.114
125,125.498
126,140.633
127,139.151
128,149.800
129,165.638
130,168.278
131,172.022
132,176.695
133,188.211
134,208.445
135,211.755
136,230.164
137,251.517
138,272.747
139,278.514
140,302.841
141,334.810
142,363.326
143,386.665
144,381.850
145,402.128
146,422.366
147,424.900
148,426.873
149,430.997
150,412.215
151,388.096
152,387.447
153,369.301
154,336.200
155,300.952
156,275.194
157,259.202
158,238.977
159,221.364
160,199.761
161,181.699
162,165.409
163,154.316
164,149.611
165,146.462
166,143.435
167,147.485
168,144.316
169,132.904
170,151.963
171,147.894
172,154.562
173,161.105
174,162.882
175,186.017
176,193.509
177,201.542
178,215.826
179,228.782
180,243.572
181,253.598
182,241.431
183,243.190
184,241.266
185,250.077
186,239.042
187,234.758
188,215.752
189,201.395
190,187.616
191,172.304
192,167.020
193,152.474
194,131.824
195,122.222
196,112.319
197,105.664
198,99.367
199,95.275
200,90.755
201,88.190
202,78.678
203,78.920
204,81.969
205,73.843
206,76.600
207,80.449
208,76.063
209,72.157
210,77.926
211,81.361
212,77.109
213,77.332
214,75.023
215,74.764
216,78.441
217,82.432
218,83.978
219,81.999
220,90.171
221,83.549
222,81.798
223,85.002
224,89.875
225,88.601
226,90.969
227,90.068
228,91.432
229,90.893
230,83.549
231,89.365
232,82.498
233,83.640
234,90.234
235,87.515
236,84.753
237,84.913
238,91.738
239,90.489
240,90.873
241,95.390
242,99.192
243,95.316
244,94.542
245,88.975
246,91.115
247,95.419
248,93.372
249,96.995
250,94.709
251,102.350
252,100.661
253,94.543
254,96.941
255,99.535
256,99.293
257,109.080
258,106.792
259,105.981
260,102.014
261,101.995
262,111.940
263,116.410
264,119.233
265,114.660
266,119.331
267,117.071
268,123.299
269,127.854
270,134.662
271,147.294
272,159.245
273,156.601
274,171.619
275,175.264
276,194.693
277,221.216
278,228.247
279,252.788
280,279.660
281,310.196
282,327.272
283,352.798
284,384.915
285,430.627
286,447.737
287,453.659
288,474.564
289,488.947
290,491.067
291,496.060
292,483.436
293,473.986
294,454.959
295,424.515
296,407.192
297,395.202
298,355.940
299,328.659
300,291.963
301,275.046
302,246.913
303,234.683
304,212.123
305,193.553
