X,Y
0,1041.000
1,1029.794
2,977.602
3,951.814
4,884.476
5,839.511
6,816.198
7,766.518
8,734.693
9,715.217
10,702.204
11,657.676
12,618.244
13,584.796
14,563.078
15,538.415
16,522.662
17,511.141
18,497.563
19,476.968
20,476.412
21,470.997
22,456.025
23,453.390
24,440.150
25,425.045
26,415.895
27,403.376
28,406.713
29,404.466
30,397.043
31,412.503
32,401.154
33,414.394
34,404.136
35,415.024
36,404.939
37,406.839
38,416.163
39,414.389
40,427.937
41,403.496
42,417.535
43,447.647
44,435.354
45,424.753
46,452.909
47,464.447
48,467.335
49,489.073
50,477.959
51,494.131
52,483.383
53,506.950
54,522.473
55,508.961
56,517.663
57,532.159
58,539.539
59,542.651
60,529.958
61,536.406
62,552.215
63,537.622
64,533.047
65,525.174
66,531.060
67,510.994
68,527.853
69,523.466
70,509.558
71,514.483
72,504.271
73,477.785
74,476.356
75,472.554
76,473.235
77,455.609
78,455.363
79,447.174
80,424.104
81,440.517
82,432.534
83,423.179
84,405.743
85,384.163
86,399.699
87,428.802
88,397.413
89,390.241
90,411.092
91,393.104
92,383.815
93,374.721
94,371.840
95,380.407
96,380.074
97,371.889
98,371.547
99,375.308
100,367.307
101,361.132
102,374.570
103,369.993
104,374.167
105,383.066
106,374.502
107,390.333
108,384.764
109,387.037
110,380.867
111,395.223
112,397.154
113,400.484
114,399.516
115,416.875
116,428.859
117,417.724
118,434.011
119,435.708
120,444.258
121,457.121
122,476.034
123,490.879
124,508.841
125,532.620
126,531.465
127,566.299
128,584.595
129,604.171
130,640.958
131,662.508
132,671.438
133,703.184
134,768.800
135,800.542
136,873.554
137,916.310
138,971.260
139,1026.597
140,1093.691
141,1168.859
142,1172.587
143,1232.821
144,1275.925
145,1319.258
146,1394.893
147,1388.849
148,1425.902
149,1453.504
150,1446.774
151,1392.540
152,1412.974
153,1350.770
154,1285.201
155,1234.121
156,1198.038
157,1161.305
158,1140.036
159,1087.133
160,1059.355
161,1002.306
162,987.491
163,940.593
164,880.456
165,833.856
166,815.745
167,797.443
168,779.211
169,727.282
170,697.011
171,667.993
172,642.640
173,611.131
174,583.191
175,576.232
176,561.046
177,522.433
178,496.650
179,495.569
180,479.123
181,469.161
182,479.303
183,444.870
184,439.440
185,422.801
186,405.666
187,389.889
188,399.762
189,399.581
190,395.292
191,398.950
192,401.745
193,384.349
194,388.452
195,390.543
196,389.148
197,400.607
198,403.555
199,388.936
200,391.370
201,394.394
202,381.848
203,377.020
204,386.067
205,382.399
206,404.795
207,408.161
208,420.194
209,406.536
210,438.044
211,427.056
212,434.882
213,447.876
214,434.383
215,426.898
216,451.446
217,478.330
218,479.090
219,490.753
220,492.246
221,496.486
222,499.899
223,500.874
224,496.105
225,497.136
226,512.489
227,525.528
228,509.051
229,518.885
230,496.925
231,512.701
232,501.401
233,488.812
234,496.572
235,507.886
236,509.227
237,481.096
238,485.652
239,494.087
240,478.615
241,474.816
242,476.890
243,469.300
244,457.649
245,461.196
246,459.705
247,445.682
248,445.771
249,436.450
250,419.679
251,424.695
252,411.678
253,410.443
254,413.492
255,413.387
256,400.818
257,384.263
258,385.664
259,407.299
260,394.979
261,394.731
262,388.272
263,411.382
264,387.737
265,386.672
266,371.416
267,374.456
268,370.658
269,384.465
270,391.050
271,395.926
272,363.185
273,374.248
274,386.117
275,377.180
276,382.284
277,371.152
278,364.111
279,358.186
280,366.141
281,381.635
282,377.702
283,369.873
284,353.047
285,362.182
286,376.518
287,372.410
288,365.051
289,368.833
290,389.474
291,378.041
292,386.442
293,394.707
294,391.529
295,402.470
296,399.628
297,408.762
298,423.079
299,428.472
300,431.076
301,438.638
302,452.543
303,461.420
304,470.567
305,492.090
306,502.373
307,526.794
308,539.574
309,549.114
310,560.808
311,584.410
312,584.838
313,634.343
314,671.342
315,699.706
316,735.422
317,762.679
318,809.059
319,843.782
320,857.247
321,878.334
322,933.806
323,975.940
324,988.520
325,988.498
326,1050.098
327,1094.191
328,1105.094
329,1125.306
330,1154.962
331,1171.834
332,1178.980
333,1171.756
334,1157.862
335,1169.248
336,1179.482
337,1171.919
338,1143.704
339,1100.457
340,1099.599
341,1069.462
342,1073.409
343,1045.698
344,1036.304
345,1019.759
346,983.441
347,963.654
348,941.024
349,907.370
350,866.148
351,834.540
352,834.324
353,807.145
354,767.579
355,736.671
356,703.582
357,669.468
358,648.344
359,621.569
360,597.966
361,574.755
362,579.614
363,573.957
364,558.865
365,523.767
366,514.541
367,489.629
368,480.795
369,483.748
370,462.596
371,453.049
372,450.384
373,441.931
374,435.111
375,399.331
376,390.912
377,393.354
378,391.575
379,391.454
380,388.698
381,388.545
382,383.528
383,386.423
384,378.394
385,374.185
386,374.964
387,374.478
388,357.883
389,380.255
390,383.752
391,375.184
392,378.446
393,387.007
394,396.269
395,392.058
396,367.506
397,383.612
