Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,10
Label,,
TIME,CH1,CH2
-3.200e+00,88,0.8
-3.197e+00,88.4,0.8
-3.194e+00,88.4,0.8
-3.190e+00,88.4,0.8
-3.187e+00,88.4,0.8
-3.184e+00,88.8,0.8
-3.181e+00,88.8,0.8
-3.178e+00,88.8,1.2
-3.174e+00,88.8,0.8
-3.171e+00,88.8,0.8
-3.168e+00,89.2,1.2
-3.165e+00,88.8,0.8
-3.162e+00,89.2,0.8
-3.158e+00,89.2,0.8
-3.155e+00,89.2,0.8
-3.152e+00,89.2,0.8
-3.149e+00,89.2,0.8
-3.146e+00,89.2,0.8
-3.142e+00,89.2,0.8
-3.139e+00,89.6,0.8
-3.136e+00,89.2,0.8
-3.133e+00,89.6,1.2
-3.130e+00,89.6,0.8
-3.126e+00,89.6,0.8
-3.123e+00,89.6,0.8
-3.120e+00,89.6,0.8
-3.117e+00,89.6,0.8
-3.114e+00,89.6,0.8
-3.110e+00,90,0.8
-3.107e+00,90,0.8
-3.104e+00,90,0.8
-3.101e+00,90,0.8
-3.098e+00,90,1.2
-3.094e+00,90.4,0.8
-3.091e+00,90.4,0.8
-3.088e+00,90.8,0.8
-3.085e+00,90.4,0.8
-3.082e+00,90.8,0.8
-3.078e+00,90.4,0.4
-3.075e+00,90.8,0.4
-3.072e+00,90.8,0.8
-3.069e+00,91.2,0.8
-3.066e+00,91.2,0.8
-3.062e+00,91.2,0.8
-3.059e+00,91.6,0.4
-3.056e+00,90.8,0.4
-3.053e+00,91.6,0.4
-3.050e+00,91.2,0.4
-3.046e+00,91.2,0.4
-3.043e+00,91.2,0.4
-3.040e+00,91.2,0.8
-3.037e+00,91.2,0.8
-3.034e+00,91.6,0.8
-3.030e+00,91.6,0.8
-3.027e+00,91.2,0.8
-3.024e+00,91.2,0.8
-3.021e+00,91.6,0.4
-3.018e+00,91.6,0.8
-3.014e+00,91.6,0.8
-3.011e+00,91.6,0.4
-3.008e+00,92,0.8
-3.005e+00,92,0.8
-3.002e+00,92,0.8
-2.998e+00,92,0.8
-2.995e+00,92,0.4
-2.992e+00,92,0.4
-2.989e+00,92.4,0.8
-2.986e+00,92.4,0.4
-2.982e+00,92.8,0.8
-2.979e+00,92.8,0.8
-2.976e+00,92.8,0.8
-2.973e+00,92.8,0.4
-2.970e+00,92.8,0.8
-2.966e+00,92.8,0.8
-2.963e+00,92.8,1.2
-2.960e+00,93.2,0.8
-2.957e+00,92.8,0.8
-2.954e+00,93.2,0.8
-2.950e+00,93.2,0.8
-2.947e+00,92.8,0.4
-2.944e+00,92.8,0.8
-2.941e+00,93.2,0.4
-2.938e+00,93.2,0.8
-2.934e+00,93.2,0.8
-2.931e+00,93.6,0.8
-2.928e+00,93.6,0.8
-2.925e+00,93.2,0.8
-2.922e+00,94,0.8
-2.918e+00,93.6,0.8
-2.915e+00,93.6,0.8
-2.912e+00,94,0.4
-2.909e+00,94,0.8
-2.906e+00,94.4,0.8
-2.902e+00,94,0.8
-2.899e+00,94,0.8
-2.896e+00,94.4,0.8
-2.893e+00,94.4,0.4
-2.890e+00,94.4,0.8
-2.886e+00,94.4,0.8
-2.883e+00,94.4,0.4
-2.880e+00,94.8,0.4
-2.877e+00,94.8,0.4
-2.874e+00,94.8,0.4
-2.870e+00,94.8,0.8
-2.867e+00,94.8,0.8
-2.864e+00,94.8,0.8
-2.861e+00,94.8,0.8
-2.858e+00,94.8,0.4
-2.854e+00,94.8,0.8
-2.851e+00,94.8,0.8
-2.848e+00,94.8,0.8
-2.845e+00,95.2,0.4
-2.842e+00,95.2,0.8
-2.838e+00,95.2,0.8
-2.835e+00,95.6,0.8
-2.832e+00,95.2,0.8
-2.829e+00,95.2,0.8
-2.826e+00,95.6,1.2
-2.822e+00,95.6,0.8
-2.819e+00,96,0.8
-2.816e+00,96,0.8
-2.813e+00,96,0.4
-2.810e+00,96,0.8
-2.806e+00,96,0.8
-2.803e+00,96.4,0.8
-2.800e+00,96.4,0.8
-2.797e+00,96.4,0.8
-2.794e+00,96.8,0.8
-2.790e+00,96.4,0.8
-2.787e+00,96.4,0.8
-2.784e+00,96.4,0.8
-2.781e+00,96,0.4
-2.778e+00,96.8,0.8
-2.774e+00,96.8,0.8
-2.771e+00,96.8,0.8
-2.768e+00,97.2,0.8
-2.765e+00,96.4,0.8
-2.762e+00,96.8,0.8
-2.758e+00,96.8,0.8
-2.755e+00,97.2,0.8
-2.752e+00,96.8,0.8
-2.749e+00,96.8,0.8
-2.746e+00,96.8,0.4
-2.742e+00,96.8,0.4
-2.739e+00,97.2,0.4
-2.736e+00,97.2,0.8
-2.733e+00,97.6,0.8
-2.730e+00,97.2,0.8
-2.726e+00,97.6,1.2
-2.723e+00,97.6,0.8
-2.720e+00,98,0.8
-2.717e+00,98,0.8
-2.714e+00,98,0.8
-2.710e+00,98,0.8
-2.707e+00,98,0.8
-2.704e+00,98,0.8
-2.701e+00,98.4,0.8
-2.698e+00,98,1.2
-2.694e+00,98.4,1.2
-2.691e+00,98.4,1.2
-2.688e+00,98.4,0.8
-2.685e+00,98.4,0.8
-2.682e+00,98.4,0.8
-2.678e+00,98.4,0.8
-2.675e+00,98.4,0.8
-2.672e+00,98.4,1.2
-2.669e+00,98.8,1.2
-2.666e+00,98.4,1.2
-2.662e+00,98.4,1.2
-2.659e+00,98.8,1.2
-2.656e+00,99.2,1.2
-2.653e+00,98.8,1.2
-2.650e+00,98.8,0.8
-2.646e+00,99.2,1.2
-2.643e+00,98.8,0.8
-2.640e+00,99.2,0.8
-2.637e+00,99.2,1.2
-2.634e+00,99.6,1.2
-2.630e+00,98.8,1.2
-2.627e+00,99.2,1.2
-2.624e+00,99.6,1.2
-2.621e+00,99.6,1.2
-2.618e+00,100,1.2
-2.614e+00,100.4,1.2
-2.611e+00,99.6,1.2
-2.608e+00,100,0.8
-2.605e+00,100.4,1.2
-2.602e+00,100,1.2
-2.598e+00,100.4,1.2
-2.595e+00,100.4,1.6
-2.592e+00,100.4,1.2
-2.589e+00,100,1.2
-2.586e+00,100.4,1.2
-2.582e+00,100,0.8
-2.579e+00,100.4,0.8
-2.576e+00,100.4,0.8
-2.573e+00,100.4,0.8
-2.570e+00,75.6,-18.8
-2.566e+00,40,-18.8
