# ADC counts, event no., timestamp, absolute time
2.900000000000000000e+01, 0.000000000000000000e+00, 3.040000000000000000e+02, 1.036292720000000000e+08
2.300000000000000000e+01, 1.000000000000000000e+00, 4.816000000000000000e+03, 1.062901520000000000e+08
4.994000000000000000e+03, 2.000000000000000000e+00, 1.392000000000000000e+03, 1.831536880000000000e+08
3.000000000000000000e+01, 3.000000000000000000e+00, 6.952000000000000000e+03, 2.253670960000000000e+08
3.000000000000000000e+00, 4.000000000000000000e+00, 6.352000000000000000e+03, 2.515495280000000000e+08
1.100000000000000000e+01, 5.000000000000000000e+00, 2.328000000000000000e+03, 2.601637040000000000e+08
2.842000000000000000e+03, 6.000000000000000000e+00, 1.384000000000000000e+03, 3.648070480000000000e+08
1.800000000000000000e+01, 7.000000000000000000e+00, 3.424000000000000000e+03, 3.659426320000000000e+08
1.333000000000000000e+04, 8.000000000000000000e+00, 1.448000000000000000e+03, 3.773112720000000000e+08
3.000000000000000000e+01, 9.000000000000000000e+00, 2.888000000000000000e+03, 4.627240240000000000e+08
4.511000000000000000e+03, 1.000000000000000000e+01, 1.440000000000000000e+03, 5.467582480000000000e+08
1.405300000000000000e+04, 1.100000000000000000e+01, 1.416000000000000000e+03, 6.910781680000000000e+08
8.263000000000000000e+03, 1.200000000000000000e+01, 1.392000000000000000e+03, 7.869201520000000000e+08
6.709000000000000000e+03, 1.300000000000000000e+01, 1.424000000000000000e+03, 1.004324008000000000e+09
8.773000000000000000e+03, 1.400000000000000000e+01, 1.400000000000000000e+03, 1.150662552000000000e+09
1.401800000000000000e+04, 1.500000000000000000e+01, 1.416000000000000000e+03, 1.240539976000000000e+09
3.498000000000000000e+03, 1.600000000000000000e+01, 1.384000000000000000e+03, 1.331273672000000000e+09
4.100000000000000000e+01, 1.700000000000000000e+01, 3.728000000000000000e+03, 1.837517976000000000e+09
2.600000000000000000e+01, 1.800000000000000000e+01, 8.016000000000000000e+03, 1.894830712000000000e+09
2.500000000000000000e+01, 1.900000000000000000e+01, 2.080000000000000000e+03, 1.956928328000000000e+09
2.900000000000000000e+01, 2.000000000000000000e+01, 1.496000000000000000e+03, 2.201958536000000000e+09
3.100000000000000000e+01, 2.100000000000000000e+01, 4.168000000000000000e+03, 2.250060760000000000e+09
6.417000000000000000e+03, 2.200000000000000000e+01, 1.440000000000000000e+03, 2.328609224000000000e+09
2.100000000000000000e+01, 2.300000000000000000e+01, 5.128000000000000000e+03, 2.331004376000000000e+09
3.917000000000000000e+03, 2.400000000000000000e+01, 1.384000000000000000e+03, 2.350795080000000000e+09
2.800000000000000000e+01, 2.500000000000000000e+01, 7.392000000000000000e+03, 2.432785352000000000e+09
1.300000000000000000e+01, 2.600000000000000000e+01, 3.864000000000000000e+03, 2.479427432000000000e+09
